service	container_id	state	health
api	6b805e884ea484c16bfa9fe3fdce59e7fa1d9bbe3957fabf2bace5cef12a5aaa	running	healthy
dcgm-exporter	8d8efb7c6c5fb4bb451c51877b9d7205d9e226c7da150957587c587e80e2ea6c	running	healthy
grafana	4bf45a19fcb74841075d4bd10667c8fbff957b26d8f0ef56ffc7258df230c6b0	running	healthy
mailpit	0352002e2de5249a212e06276c5436f2e9b17c09f1c2e1511a11f26cb51882ec	running	healthy
minio	553936b1b113af63977cf900dcb3c05636a1cc24e19d2656781625ca3688a1d8	running	healthy
postgres	df0c08b24d10d2fea431a451aeccb8dbb23058290747b9c48daa445d19001902	running	healthy
prometheus	3c4a80aea0bfe47446ba3e30c41b13ee44b0bebe31dac974871acc84e3031cb3	running	healthy
qdrant	e8382767019f2fb39634defda734d23c2049271fec35dbdae966a5e39af9356a	running	healthy
rabbitmq	bd3701959f7b1f07de660b5fefcc30402c7ad6fda1dd231136f4c907f23eabfa	running	healthy
redis	cc19425a68fc3ce9494ecf71efbe6f0f9c26dc324c41a63e348f9379cb1b2a5a	running	healthy
reverse-proxy	dc68644d74d22cf4f1f54316a68bd869937e5e673e805b0b68eeabca7eaec70d	running	healthy
web	1c3ff97f0eedf226b0162cde9e5964bf97acf1c6c2e855d6c60259961de97b07	running	healthy
worker	8c933c66527ed4b2e8acecf56a0ef0257d45375209e3e9a6c9d99f7683c76627	running	healthy
