service	container_id	state	health
api	75dcf159807081543fb6066f8745b438f8e0883f8f0f2bcaf4088652be91c7a5	running	healthy
dcgm-exporter	3058bacec70b35c31232a78cbe499569553125d8dfd31ba89fc919e5e174425d	running	healthy
grafana	0492cc174a61466f5dca363a81b78574b384c1ccf7d62d51e9daae3ce8c12a70	running	healthy
mailpit	1fbbdde95900652467b655c70bf373f8e2106fd524904130d30742b36644fd11	running	healthy
minio	f0e9ab14887bdcfcfd6fb3d892212111162925caa18b3a13fb3040cf42923cd4	running	healthy
postgres	2183dfbb9c10a78468fde9a2c016e947f323b55713d09342bc02b5273b3ce656	running	healthy
prometheus	12d1944eef98282ffe73a982ce50fb4e9e3a75f5067a32a83e7433dbefef6ab7	running	healthy
qdrant	5375a335b34216cc30836134dc3cc5861a40971ba431324cff45b329dba458a5	running	healthy
rabbitmq	ee712bffa873206a55ea3340a876be01c3ab11f9bd3b4b41c150fd1483594289	running	healthy
redis	27046bfa803e525daa5c4b8f1193a104e238dd9fb0dabcfbab5aa592d21505d5	running	healthy
reverse-proxy	5828e246813cd87f3ac2b380c2311384dc3ad042df375e82df00f1b5b4635362	running	healthy
web	4173c7930af9d3e83b1fd50c9324054d28e2e78d30dead28de939c8e089918c1	running	healthy
worker	b91b3b5ecf24e800128ae30d2a34e3ed80c6ae232b350439e91b4a5f3e044b67	running	healthy
