kind,scenario,request_index,concurrency,status,error_code,target_context_tokens,target_input_tokens,max_output_tokens,prompt_tokens_actual,completion_tokens_actual,total_tokens_actual,ttft_seconds,decode_duration_seconds,decode_tokens_per_second,total_latency_seconds,batch_size,passage_count,vector_dimension_observed,response_model_observed
reranking,reranking-passages-2,0,1,ok,,,,,58,,58,,,,0.01977785798953846,,2,,
reranking,reranking-passages-2,1,1,ok,,,,,58,,58,,,,0.018780557991703972,,2,,
reranking,reranking-passages-2,2,1,ok,,,,,58,,58,,,,0.022164636000525206,,2,,
reranking,reranking-passages-2,3,1,ok,,,,,58,,58,,,,0.01792831500642933,,2,,
reranking,reranking-passages-16,0,1,ok,,,,,464,,464,,,,0.060004682003636844,,16,,
reranking,reranking-passages-16,1,1,ok,,,,,464,,464,,,,0.10209308000048622,,16,,
reranking,reranking-passages-16,2,1,ok,,,,,464,,464,,,,0.09963558200979605,,16,,
reranking,reranking-passages-16,3,1,ok,,,,,464,,464,,,,0.19264057699183468,,16,,
