service	container_id	state	health
api	86537c2ac25d7fc3f95a93e476fb7f644f7c75078088d55df37185e2c96433fa	running	healthy
dcgm-exporter	a3d6b9b9ce2922fc9155112b7d4c5c388b39c8df6a7dc2c6b775881875038819	running	healthy
grafana	e169152f5431d191a41cd7d24a6ad5cb18a69d4d2b3e6291bc2891137f1d7477	running	healthy
mailpit	e278f32f37cdf0e73defa26f107146f30ae0bf3a2fdfbcd1399783845169027f	running	healthy
minio	3125176a72e15a6fe813738fb17bf828ea59673d067e6c78d12526c00de655d9	running	healthy
postgres	3c7460f2d3c2b3bc6fef175136751a4a5cd9f61d5820725254fe22baa71c219f	running	healthy
prometheus	df46954acd0c158081d69cda242472c84e80ec1ca335b1285ae42ffb9c2466b3	running	healthy
qdrant	1d6887823b8cf7b334ba27746c3922bae21a84d4afb9b316ec60d3946024b702	running	healthy
rabbitmq	6bcfe03a3f33e84178f4d3b0e43861e30411e45586b25d8418e86b35011304be	running	healthy
redis	3735d16536fed6d8d65185d052d40faee08dedca9f105ceedf8bff67ec7f576c	running	healthy
reverse-proxy	6f0b0f5135f758a419ca82468ddddf4616d08aff726ef24c7b02aaee49df8ab6	running	healthy
web	90d5125b7963846020cd561ca11c9fbb263b3ffc3736ed94461ffb11f8a7b4e2	running	healthy
worker	1b9dea6d506c864334849a964eb9393d5ce4a85ee50eb8cfc63323b782d91b6f	running	healthy
