service	container_id	state	health
api	ddefcf20819bcfbf3e1748b3b95c87ce5298d611d570dff0e8f98d7350458512	running	healthy
dcgm-exporter	7f9ba3446e8ecb204d165ed05950cd1d1bd741a2a2c049b92898c037e7b86d4e	running	healthy
grafana	53252fe8aed5e0b8376e499577987edbb8c011195cd69b59d9d4311a62f83814	running	healthy
mailpit	3094cef256425c6be89648d898abc1ba71dcadc96830059a191b4985f9f53e97	running	healthy
minio	16fe91b833a466d316e3d7c32cb1dce0656a30078cc8da4a66342c9a8b7506e8	running	healthy
postgres	7a25b3568361cdff042f3626bf8eee74c8b84bd93163458b6068c9298c7d53ee	running	healthy
prometheus	9065f391f99e81c32405acc314e91cbde1350fd3db9c0e1a80b3cb3e54f67994	running	healthy
qdrant	8710fb0b1096993593cb6552e3ca9ec387a2857013331483c93073d78f103b2c	running	healthy
rabbitmq	ab8e95df3582ed91063b9baf812d363589269e53f3092888dbc996b54a45a6b6	running	healthy
redis	db59a202ccb1e0a6b398e7793a7609bef8f3043b8a2cdf82427018047165e16e	running	healthy
reverse-proxy	d503c92f8232693c3e9a46de087d5ec7dfd1bdddf4126dbb0942ee8110775306	running	healthy
web	cf2ef05ab00e3ef0955470ea0e9358dc7aa5b103fc6683f8952d3b0c68f14ab3	running	healthy
worker	345e648ac7ad0eb6d25f792a856d90065634a505cf1caabfd6fa022e4c527901	running	healthy
